Demand,Algorithm,AvgCost,StdCost,MinCost,MaxCost,AvgTime
0,Dijkstra,4.161985305619095,0.0,4.161985305619095,4.161985305619095,0.056012439727783206
0,GA,6.9588120036641445,8.881784197001252e-16,6.958812003664144,6.958812003664144,0.00639500617980957
0,ACO,7.481403480964085,5.117904738865281,4.161985305619095,17.589269380615377,1.0227803230285644
0,SA,6.9588120036641445,8.881784197001252e-16,6.958812003664144,6.958812003664144,0.10086255073547364
1,Dijkstra,3.9528022384784847,4.440892098500626e-16,3.952802238478485,3.952802238478485,0.04246926307678223
1,GA,9.257587800716722,0.0,9.257587800716722,9.257587800716722,0.006777334213256836
1,ACO,7.661724885653271,4.2668331228816045,3.952802238478485,15.99153234033084,1.1706918239593507
1,SA,9.257587800716722,0.0,9.257587800716722,9.257587800716722,0.09985814094543458
2,Dijkstra,4.691416205805738,0.0,4.691416205805738,4.691416205805738,0.09887733459472656
2,GA,8.186691303457257,0.0,8.186691303457257,8.186691303457257,0.0065787315368652345
2,ACO,8.719841802003897,2.454635267898943,5.9128374682603475,12.627386809191455,1.2883055210113525
2,SA,8.186691303457257,0.0,8.186691303457257,8.186691303457257,0.10026350021362304
3,Dijkstra,4.690192851454667,0.0,4.690192851454667,4.690192851454667,0.10743951797485352
3,GA,8.751859896761442,0.0,8.751859896761442,8.751859896761442,0.006579780578613281
3,ACO,6.100630034562235,0.6626759927990657,5.156868769590446,7.030268074212808,1.5207242012023925
3,SA,8.751859896761442,0.0,8.751859896761442,8.751859896761442,0.09906835556030273
4,Dijkstra,2.701166985606321,0.0,2.701166985606321,2.701166985606321,0.00978074073791504
4,GA,2.701166985606321,0.0,2.701166985606321,2.701166985606321,0.003988742828369141
4,ACO,3.9179720068257993,1.6116322785954142,2.701166985606321,6.713278646882166,1.1238580226898194
4,SA,2.701166985606321,0.0,2.701166985606321,2.701166985606321,0.06318840980529786
5,Dijkstra,3.407958728960491,0.0,3.407958728960491,3.407958728960491,0.01756429672241211
5,GA,8.583874411950376,0.0,8.583874411950376,8.583874411950376,0.005973720550537109
5,ACO,4.006876784926196,0.4890145449518788,3.407958728960491,4.406155488903333,1.149955415725708
5,SA,8.583874411950376,0.0,8.583874411950376,8.583874411950376,0.09826874732971191
6,Dijkstra,3.806540475049105,4.440892098500626e-16,3.8065404750491045,3.8065404750491045,0.03907780647277832
6,GA,8.74000968837686,0.0,8.74000968837686,8.74000968837686,0.006578779220581055
6,ACO,5.773765825673179,1.6585664444240524,3.8065404750491045,8.148763885580978,1.1432432174682616
6,SA,8.74000968837686,0.0,8.74000968837686,8.74000968837686,0.09886960983276367
7,Dijkstra,3.484931525540989,0.0,3.484931525540989,3.484931525540989,0.023721837997436525
7,GA,3.484931525540989,0.0,3.484931525540989,3.484931525540989,0.0041778564453125
7,ACO,3.790358863001983,0.37407056513814074,3.484931525540989,4.248499869193474,0.8854471206665039
7,SA,3.484931525540989,0.0,3.484931525540989,3.484931525540989,0.061792945861816405
8,Dijkstra,4.900668083446508,0.0,4.900668083446508,4.900668083446508,0.08930859565734864
8,GA,7.494291820525907,8.881784197001252e-16,7.494291820525908,7.494291820525908,0.0065762996673583984
8,ACO,5.778469603315368,0.4319649463652569,5.374190357214611,6.416371222465051,1.2380597591400146
8,SA,7.494291820525907,8.881784197001252e-16,7.494291820525908,7.494291820525908,0.0978731632232666
9,Dijkstra,4.6737251157365876,0.0,4.6737251157365876,4.6737251157365876,0.09827532768249511
9,GA,4.9858849728516805,0.0,4.9858849728516805,4.9858849728516805,0.00398721694946289
9,ACO,5.264434378302437,0.8803972894101997,4.6737251157365876,7.002951714335649,1.2518661499023438
9,SA,4.9858849728516805,0.0,4.9858849728516805,4.9858849728516805,0.06219353675842285
10,Dijkstra,3.287926010602136,4.440892098500626e-16,3.2879260106021366,3.2879260106021366,0.019950008392333983
10,GA,4.4145491484600505,0.0,4.4145491484600505,4.4145491484600505,0.0065765380859375
10,ACO,4.081315905615883,1.0812239152893144,3.2879260106021366,6.021140480858248,1.001164436340332
10,SA,4.4145491484600505,0.0,4.4145491484600505,4.4145491484600505,0.0966766357421875
11,Dijkstra,5.298497173870409,0.0,5.298497173870409,5.298497173870409,0.12821922302246094
11,GA,5.298497173870409,0.0,5.298497173870409,5.298497173870409,0.004005050659179688
11,ACO,6.995053383358612,1.45693638458547,5.298497173870409,9.359204698314922,1.4503684043884277
11,SA,5.298497173870409,0.0,5.298497173870409,5.298497173870409,0.0605982780456543
12,Dijkstra,4.647635496386078,0.0,4.647635496386078,4.647635496386078,0.09511265754699708
12,GA,10.190135791843648,0.0,10.190135791843648,10.190135791843648,0.006762361526489258
12,ACO,6.796304043997772,1.9124061820349365,4.647635496386078,9.145915094190942,1.594508409500122
12,SA,10.190135791843648,0.0,10.190135791843648,10.190135791843648,0.09707517623901367
13,Dijkstra,4.252632257940011,0.0,4.252632257940011,4.252632257940011,0.06878561973571777
13,GA,7.3369152230650885,0.0,7.3369152230650885,7.3369152230650885,0.006394672393798828
13,ACO,4.998740742775495,1.420953435965855,4.252632257940011,7.838435263158331,1.0122221469879151
13,SA,7.3369152230650885,0.0,7.3369152230650885,7.3369152230650885,0.09646868705749512
14,Dijkstra,4.995941589240791,0.0,4.995941589240791,4.995941589240791,0.11741461753845214
